행정구역,연도,총인구수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율
원주시,2008년,303975,116514,2.61,151626,152349,1
춘천시,2008년,261975,101758,2.57,129339,132636,0.98
강릉시,2008년,218399,86939,2.51,108842,109557,0.99
동해시,2008년,95652,37512,2.55,48383,47269,1.02
속초시,2008년,84599,35615,2.38,41676,42923,0.97
삼척시,2008년,70954,29736,2.39,35940,35014,1.03
홍천군,2008년,70360,28486,2.47,35824,34536,1.04
태백시,2008년,51028,21131,2.41,26065,24963,1.04
철원군,2008년,47724,18756,2.54,24744,22980,1.08
평창군,2008년,43706,18712,2.34,22415,21291,1.05
횡성군,2008년,43413,17942,2.42,22173,21240,1.04
정선군,2008년,41269,18292,2.26,21403,19866,1.08
영월군,2008년,40201,17529,2.29,20422,19779,1.03
인제군,2008년,31620,12977,2.44,16545,15075,1.1
고성군,2008년,30172,13136,2.3,15384,14788,1.04
양양군,2008년,28115,12227,2.3,14276,13839,1.03
화천군,2008년,24110,10813,2.23,13078,11032,1.19
양구군,2008년,21303,8875,2.4,11147,10156,1.1
원주시,2009년,307882,119306,2.58,153495,154387,0.99
춘천시,2009년,264849,104022,2.55,130791,134058,0.98
강릉시,2009년,217464,87636,2.48,108146,109318,0.99
동해시,2009년,95271,38053,2.5,48202,47069,1.02
속초시,2009년,83822,35787,2.34,41260,42562,0.97
삼척시,2009년,71935,31233,2.3,36490,35445,1.03
홍천군,2009년,69606,28707,2.42,35537,34069,1.04
태백시,2009년,50424,21182,2.38,25746,24678,1.04
철원군,2009년,47669,18889,2.52,24573,23096,1.06
횡성군,2009년,44121,18491,2.39,22543,21578,1.04
평창군,2009년,43634,19027,2.29,22394,21240,1.05
정선군,2009년,40708,18417,2.21,21123,19585,1.08
영월군,2009년,40265,17945,2.24,20468,19797,1.03
인제군,2009년,31452,13015,2.42,16382,15070,1.09
고성군,2009년,30272,13562,2.23,15578,14694,1.06
양양군,2009년,27957,12394,2.26,14226,13731,1.04
화천군,2009년,24216,11038,2.19,13181,11035,1.19
양구군,2009년,21323,8989,2.37,11135,10188,1.09
원주시,2010년,314678,123983,2.54,156741,157937,0.99
춘천시,2010년,269950,108140,2.5,133275,136675,0.98
강릉시,2010년,218503,89984,2.43,108613,109890,0.99
동해시,2010년,95236,38932,2.45,48170,47066,1.02
속초시,2010년,84302,36671,2.3,41543,42759,0.97
삼척시,2010년,72046,32482,2.22,36367,35679,1.02
홍천군,2010년,69893,29280,2.39,35595,34298,1.04
태백시,2010년,50864,22292,2.28,25987,24877,1.04
철원군,2010년,48928,20316,2.41,25543,23385,1.09
횡성군,2010년,44254,18960,2.33,22528,21726,1.04
평창군,2010년,43622,19392,2.25,22375,21247,1.05
정선군,2010년,41045,19210,2.14,21286,19759,1.08
영월군,2010년,40407,18505,2.18,20574,19833,1.04
인제군,2010년,31842,13528,2.35,16717,15125,1.11
고성군,2010년,30112,13975,2.15,15590,14522,1.07
양양군,2010년,27929,12574,2.22,14242,13687,1.04
화천군,2010년,24364,11370,2.14,13260,11104,1.19
양구군,2010년,21843,9407,2.32,11401,10442,1.09
원주시,2011년,320536,128436,2.5,159522,161014,0.99
춘천시,2011년,272805,110075,2.48,134600,138205,0.97
강릉시,2011년,217571,90090,2.42,108294,109277,0.99
동해시,2011년,95804,39411,2.43,48289,47515,1.02
속초시,2011년,83745,36579,2.29,41260,42485,0.97
삼척시,2011년,72312,33388,2.17,36681,35631,1.03
홍천군,2011년,69899,29648,2.36,35639,34260,1.04
태백시,2011년,50176,22230,2.26,25520,24656,1.04
철원군,2011년,48084,19970,2.41,24949,23135,1.08
횡성군,2011년,44360,19160,2.32,22576,21784,1.04
평창군,2011년,43577,19569,2.23,22334,21243,1.05
영월군,2011년,40199,18668,2.15,20480,19719,1.04
정선군,2011년,40181,18968,2.12,20815,19366,1.07
인제군,2011년,31970,13935,2.29,17014,14956,1.14
고성군,2011년,30057,14248,2.11,15635,14422,1.08
양양군,2011년,27942,12783,2.19,14282,13660,1.05
화천군,2011년,24945,11716,2.13,13630,11315,1.2
양구군,2011년,22285,9775,2.28,11758,10527,1.12
원주시,2012년,323885,130617,2.48,161117,162768,0.99
춘천시,2012년,273364,110596,2.47,134874,138490,0.97
강릉시,2012년,217741,91332,2.38,108318,109423,0.99
동해시,2012년,93897,39002,2.41,47387,46510,1.02
속초시,2012년,83579,36745,2.27,41165,42414,0.97
삼척시,2012년,72463,34066,2.13,36847,35616,1.03
홍천군,2012년,69727,29894,2.33,35548,34179,1.04
태백시,2012년,49493,22258,2.22,25123,24370,1.03
철원군,2012년,47968,19975,2.4,24776,23192,1.07
횡성군,2012년,44615,19461,2.29,22676,21939,1.03
평창군,2012년,43627,19783,2.21,22305,21322,1.05
영월군,2012년,40155,18881,2.13,20448,19707,1.04
정선군,2012년,39915,19058,2.09,20686,19229,1.08
인제군,2012년,32456,14348,2.26,17379,15077,1.15
고성군,2012년,30124,14663,2.05,15792,14332,1.1
양양군,2012년,27802,12885,2.16,14169,13633,1.04
화천군,2012년,25020,11686,2.14,13575,11445,1.19
양구군,2012년,22799,10051,2.27,12088,10711,1.13
원주시,2013년,324837,132207,2.46,161588,163249,0.99
춘천시,2013년,274455,111313,2.47,135377,139078,0.97
강릉시,2013년,216806,92412,2.35,107689,109117,0.99
동해시,2013년,95143,40093,2.37,48104,47039,1.02
속초시,2013년,83109,36946,2.25,40929,42180,0.97
삼척시,2013년,73023,35362,2.07,37384,35639,1.05
홍천군,2013년,70638,30885,2.29,36181,34457,1.05
태백시,2013년,48794,22204,2.2,24783,24011,1.03
철원군,2013년,47473,19835,2.39,24418,23055,1.06
횡성군,2013년,44937,19960,2.25,22866,22071,1.04
평창군,2013년,43666,20030,2.18,22298,21368,1.04
영월군,2013년,40150,19111,2.1,20478,19672,1.04
